亮剑,#genre#
第01集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/8c5c8a1079bd45aea6e7d38f984e5ccb/850.m3u8
第02集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/a452d5e8f9fa498f945ed6e3ae27a209/850.m3u8
第03集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/a6b8f5e28b764cc5b3ccdca165b42d61/850.m3u8
第04集,http://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/eafe85e853404e48b1a7c9a28e9cecb8/2000.m3u8
第05集,http://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/95d8dc80655540b691d9a014d7231b2d/2000.m3u8
第06集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/0071e063ad1f44f5a1150203784f7c1a/850.m3u8
第07集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/1e3605a3648045988138c5cb629b4fc0/850.m3u8
第08集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/de822fe04fdf4ce28c0f485187cd1d19/1200.m3u8
第09集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/8a10ecfd0ea542049a39df5b003641cf/850.m3u8
第10集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/224e04d61b8d4586bdddbbd9b61c0970/850.m3u8
第11集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/82a97615c7494287a1df1d32c31c8872/850.m3u8
第12集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/6f8befa816b54290b178a56e5812541d/850.m3u8
第13集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/f623b6d4d3ea4871a06beb218a71a5ec/850.m3u8
第14集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/6d170cbddf0a4b43be970afb2dc0076f/850.m3u8
第15集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/7df02e7852a24b20a3a81ed58a1bb27d/850.m3u8
第16集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/630601d6e9334dcf91ea9a268033eb28/850.m3u8
第17集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/16b36be5d7e34411a9615fcf8aa7784f/850.m3u8
第18集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/5e08dcc96c364b138e5a61fca67f0c2b/850.m3u8
第19集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/8213e3b866d04cfeb4a03db14c742ca5/850.m3u8
第20集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/c1bdb8451b0b420aace9e993705884cd/850.m3u8
第21集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/1e218c8430ee46a68e2ddfeff36bb994/850.m3u8
第22集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/abf89668c44f43eb8525af7194104553/850.m3u8
第23集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/2303b01e757746a499176d6239de76b1/850.m3u8
第24集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/98d5c93f9a674953bd4e225b0d805b7f/850.m3u8
第25集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/a5e6b699a9ca4be99ec0910c2185149b/850.m3u8
第26集,http://hls.cntv.lxdns.com/asp/hls/850/0303000a/3/default/e065f30d9f5d4aad94243eba8655a958/850.m3u8
特赦1959,#genre#
第01集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/3dc972c4a0b74a6bb535ddd71e3eff94/1200.m3u8
第02集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/cda07d68c119485b88f4589ceb73e23f/1200.m3u8
第03集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/cbd48f72d80941e3be51685da620cafe/1200.m3u8
第04集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/60e4b6d734cc4b7a83bde6168be4a598/1200.m3u8
第05集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/0a43318709f04cb595ffbca73e86882c/1200.m3u8
第06集,http://hls.cntv.lxdns.com/asp/hls/1200/0303000a/3/default/5ec0acb9ba3f476c9aa0f0182ee0fb9f/1200.m3u8
